Line,RxCmd,SW,RT,Data After RtRt 0
2,0x8a1,0x800,01 05 01 00,020000
3,0x8a1,0x800,01 05 01 00,040000
5,0x8a1,0x800,01 05 01 00,020000
7,0x8a1,0x800,01 05 01 00,040000
